step 8800, idx 31552, training accuracy 0.625, cross entropy is 1.0617(0.016 sec/batch=32 images) 
step 8900, idx 34752, training accuracy 0.53125, cross entropy is 1.44701(0.016 sec/batch=32 images) 
step 9000, idx 37952, training accuracy 0.5625, cross entropy is 1.29778(0.016 sec/batch=32 images) 
step 9100, idx 41152, training accuracy 0.5625, cross entropy is 1.17861(0.016 sec/batch=32 images) 
step 9200, idx 44352, training accuracy 0.5625, cross entropy is 1.2821(0.016 sec/batch=32 images) 
step 9300, idx 47552, training accuracy 0.59375, cross entropy is 1.12501(0.016 sec/batch=32 images) 
step 9400, idx 736, training accuracy 0.5, cross entropy is 1.47222(0.016 sec/batch=32 images) 
step 9500, idx 3936, training accuracy 0.65625, cross entropy is 1.08085(0.016 sec/batch=32 images) 
step 9600, idx 7136, training accuracy 0.65625, cross entropy is 1.02929(0.016 sec/batch=32 images) 
step 9700, idx 10336, training accuracy 0.6875, cross entropy is 0.795097(0.016 sec/batch=32 images) 
step 9800, idx 13536, training accuracy 0.65625, cross entropy is 1.15491(0.017 sec/batch=32 images) 
step 9900, idx 16736, training accuracy 0.78125, cross entropy is 0.568727(0.016 sec/batch=32 images) 
step 10000, idx 19936, training accuracy 0.53125, cross entropy is 1.25257(0.016 sec/batch=32 images) 
step 10100, idx 23136, training accuracy 0.59375, cross entropy is 0.991656(0.016 sec/batch=32 images) 
step 10200, idx 26336, training accuracy 0.625, cross entropy is 1.05374(0.016 sec/batch=32 images) 
step 10300, idx 29536, training accuracy 0.71875, cross entropy is 0.800952(0.016 sec/batch=32 images) 
step 10400, idx 32736, training accuracy 0.625, cross entropy is 1.10861(0.016 sec/batch=32 images) 
step 10500, idx 35936, training accuracy 0.375, cross entropy is 1.80281(0.016 sec/batch=32 images) 
step 10600, idx 39136, training accuracy 0.5625, cross entropy is 1.32805(0.016 sec/batch=32 images) 
step 10700, idx 42336, training accuracy 0.53125, cross entropy is 1.24055(0.016 sec/batch=32 images) 
step 10800, idx 45536, training accuracy 0.5625, cross entropy is 1.17973(0.016 sec/batch=32 images) 
step 10900, idx 48736, training accuracy 0.625, cross entropy is 1.25442(0.016 sec/batch=32 images) 
step 11000, idx 1920, training accuracy 0.71875, cross entropy is 0.779847(0.016 sec/batch=32 images) 
step 11100, idx 5120, training accuracy 0.6875, cross entropy is 1.13248(0.016 sec/batch=32 images) 
step 11200, idx 8320, training accuracy 0.8125, cross entropy is 0.617001(0.016 sec/batch=32 images) 
step 11300, idx 11520, training accuracy 0.46875, cross entropy is 1.53529(0.016 sec/batch=32 images) 
step 11400, idx 14720, training accuracy 0.53125, cross entropy is 1.4703(0.016 sec/batch=32 images) 
step 11500, idx 17920, training accuracy 0.78125, cross entropy is 0.791141(0.016 sec/batch=32 images) 
step 11600, idx 21120, training accuracy 0.84375, cross entropy is 0.539501(0.016 sec/batch=32 images) 
step 11700, idx 24320, training accuracy 0.53125, cross entropy is 1.25419(0.016 sec/batch=32 images) 
step 11800, idx 27520, training accuracy 0.5, cross entropy is 1.39895(0.016 sec/batch=32 images) 
step 11900, idx 30720, training accuracy 0.5625, cross entropy is 1.28823(0.017 sec/batch=32 images) 
step 12000, idx 33920, training accuracy 0.6875, cross entropy is 0.850394(0.016 sec/batch=32 images) 
step 12100, idx 37120, training accuracy 0.5, cross entropy is 1.24036(0.017 sec/batch=32 images) 
step 12200, idx 40320, training accuracy 0.65625, cross entropy is 0.995216(0.016 sec/batch=32 images) 
step 12300, idx 43520, training accuracy 0.53125, cross entropy is 1.12558(0.017 sec/batch=32 images) 
step 12400, idx 46720, training accuracy 0.6875, cross entropy is 0.904945(0.016 sec/batch=32 images) 
step 12500, idx 49920, training accuracy 0.78125, cross entropy is 0.760362(0.016 sec/batch=32 images) 
step 12600, idx 3104, training accuracy 0.75, cross entropy is 0.878098(0.016 sec/batch=32 images) 
step 12700, idx 6304, training accuracy 0.53125, cross entropy is 1.17282(0.016 sec/batch=32 images) 
step 12800, idx 9504, training accuracy 0.6875, cross entropy is 0.967902(0.016 sec/batch=32 images) 
step 12900, idx 12704, training accuracy 0.53125, cross entropy is 1.30002(0.017 sec/batch=32 images) 
step 13000, idx 15904, training accuracy 0.6875, cross entropy is 0.916521(0.017 sec/batch=32 images) 
step 13100, idx 19104, training accuracy 0.65625, cross entropy is 1.01297(0.017 sec/batch=32 images) 
step 13200, idx 22304, training accuracy 0.625, cross entropy is 1.02744(0.016 sec/batch=32 images) 
step 13300, idx 25504, training accuracy 0.53125, cross entropy is 1.28873(0.016 sec/batch=32 images) 
step 13400, idx 28704, training accuracy 0.65625, cross entropy is 1.0004(0.016 sec/batch=32 images) 
step 13500, idx 31904, training accuracy 0.46875, cross entropy is 1.31926(0.016 sec/batch=32 images) 
step 13600, idx 35104, training accuracy 0.65625, cross entropy is 0.966052(0.016 sec/batch=32 images) 
step 13700, idx 38304, training accuracy 0.46875, cross entropy is 1.36353(0.016 sec/batch=32 images) 
step 13800, idx 41504, training accuracy 0.53125, cross entropy is 1.11788(0.016 sec/batch=32 images) 
step 13900, idx 44704, training accuracy 0.625, cross entropy is 0.950137(0.017 sec/batch=32 images) 
step 14000, idx 47904, training accuracy 0.625, cross entropy is 1.07918(0.016 sec/batch=32 images) 
step 14100, idx 1088, training accuracy 0.75, cross entropy is 0.806086(0.016 sec/batch=32 images) 
step 14200, idx 4288, training accuracy 0.625, cross entropy is 0.993192(0.016 sec/batch=32 images) 
step 14300, idx 7488, training accuracy 0.71875, cross entropy is 0.874468(0.016 sec/batch=32 images) 
step 14400, idx 10688, training accuracy 0.625, cross entropy is 0.956341(0.017 sec/batch=32 images) 
step 14500, idx 13888, training accuracy 0.65625, cross entropy is 1.08518(0.016 sec/batch=32 images) 
step 14600, idx 17088, training accuracy 0.71875, cross entropy is 0.883283(0.016 sec/batch=32 images) 
step 14700, idx 20288, training accuracy 0.59375, cross entropy is 1.17645(0.017 sec/batch=32 images) 
step 14800, idx 23488, training accuracy 0.5625, cross entropy is 1.21704(0.017 sec/batch=32 images) 
step 14900, idx 26688, training accuracy 0.78125, cross entropy is 0.620072(0.016 sec/batch=32 images) 
step 15000, idx 29888, training accuracy 0.6875, cross entropy is 0.82697(0.016 sec/batch=32 images) 
step 15100, idx 33088, training accuracy 0.53125, cross entropy is 1.26735(0.017 sec/batch=32 images) 
step 15200, idx 36288, training accuracy 0.59375, cross entropy is 0.964135(0.016 sec/batch=32 images) 
step 15300, idx 39488, training accuracy 0.5, cross entropy is 1.31333(0.017 sec/batch=32 images) 
step 15400, idx 42688, training accuracy 0.65625, cross entropy is 0.94111(0.016 sec/batch=32 images) 
step 15500, idx 45888, training accuracy 0.59375, cross entropy is 1.08561(0.016 sec/batch=32 images) 
step 15600, idx 49088, training accuracy 0.75, cross entropy is 0.781347(0.016 sec/batch=32 images) 
step 15700, idx 2272, training accuracy 0.5625, cross entropy is 1.06259(0.016 sec/batch=32 images) 
step 15800, idx 5472, training accuracy 0.71875, cross entropy is 0.773566(0.016 sec/batch=32 images) 
step 15900, idx 8672, training accuracy 0.75, cross entropy is 0.722693(0.016 sec/batch=32 images) 
step 16000, idx 11872, training accuracy 0.53125, cross entropy is 1.3497(0.016 sec/batch=32 images) 
step 16100, idx 15072, training accuracy 0.65625, cross entropy is 0.88721(0.016 sec/batch=32 images) 
step 16200, idx 18272, training accuracy 0.53125, cross entropy is 1.14801(0.016 sec/batch=32 images) 
step 16300, idx 21472, training accuracy 0.71875, cross entropy is 0.902499(0.016 sec/batch=32 images) 
step 16400, idx 24672, training accuracy 0.5625, cross entropy is 1.2061(0.016 sec/batch=32 images) 
step 16500, idx 27872, training accuracy 0.65625, cross entropy is 0.949145(0.016 sec/batch=32 images) 
step 16600, idx 31072, training accuracy 0.625, cross entropy is 1.03081(0.016 sec/batch=32 images) 
step 16700, idx 34272, training accuracy 0.6875, cross entropy is 0.886298(0.017 sec/batch=32 images) 
step 16800, idx 37472, training accuracy 0.625, cross entropy is 1.00545(0.016 sec/batch=32 images) 
step 16900, idx 40672, training accuracy 0.46875, cross entropy is 1.34581(0.016 sec/batch=32 images) 
